Date,Geography,Institution type,Registration status,ISCED,Field of study,Gender,Status of student in Canada,UOM,Scalar Factor,Value
2019/2020,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,64008
2016/2017,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,1047
2017/2018,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,960
2018/2019,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,918
2019/2020,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,903
2016/2017,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,126
2017/2018,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,120
2018/2019,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,129
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,147
2016/2017,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,2121
2017/2018,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,2271
2018/2019,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,2202
2019/2020,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,2118
2016/2017,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,708
2017/2018,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,672
2018/2019,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,651
2019/2020,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,615
2016/2017,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,22863
2017/2018,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,22623
2018/2019,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,22350
2019/2020,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,22125
2016/2017,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,23793
2017/2018,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,23667
2018/2019,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,23538
2019/2020,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,22950
2016/2017,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,1872
2017/2018,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,1827
2018/2019,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,1863
2019/2020,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,1791
2016/2017,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,1731
2017/2018,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,1707
2018/2019,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,1677
2019/2020,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,1668
2016/2017,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,5556
2017/2018,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,5655
2018/2019,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,5604
2019/2020,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,5706
2016/2017,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,6360
2017/2018,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,6501
2018/2019,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,6237
2019/2020,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,5985
2016/2017,Territories,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,3
2017/2018,Territories,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,0
2019/2020,Territories,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,Canadian students,Number,units,3
2016/2017,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,230025
2017/2018,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,228630
2018/2019,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,224160
2019/2020,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,211053
2016/2017,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,3141
2017/2018,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,2721
2018/2019,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,2292
2019/2020,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,2313
2016/2017,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,489
2017/2018,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,432
2018/2019,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,426
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,423
2016/2017,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,2799
2017/2018,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,1644
2018/2019,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,1449
2019/2020,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,1767
2016/2017,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,2523
2017/2018,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,2307
2018/2019,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,2583
2019/2020,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,2436
2016/2017,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,122532
2017/2018,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,121134
2018/2019,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,120360
2019/2020,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,119106
2016/2017,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,47571
2017/2018,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,51225
2018/2019,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,47763
2019/2020,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,37116
2016/2017,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,6456
2017/2018,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,6558
2018/2019,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,6570
2019/2020,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,6645
2016/2017,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,2646
2017/2018,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,2382
2018/2019,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,2421
2019/2020,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,2331
2016/2017,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,9783
2017/2018,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,9276
2018/2019,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,8529
2019/2020,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,8193
2016/2017,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,31746
2017/2018,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,30549
2018/2019,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,31251
2019/2020,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,30135
2016/2017,Territories,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,336
2017/2018,Territories,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,405
2018/2019,Territories,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,513
2019/2020,Territories,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",Canadian students,Number,units,585
2016/2017,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,132216
2017/2018,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,130449
2018/2019,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,129459
2019/2020,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,121827
2016/2017,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,1638
2017/2018,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,1401
2018/2019,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,1134
2019/2020,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,1146
2016/2017,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,156
2017/2018,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,150
2018/2019,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,129
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,156
2016/2017,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,1545
2017/2018,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,921
2018/2019,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,867
2019/2020,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,1062
2016/2017,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,1287
2017/2018,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,1155
2018/2019,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,1314
2019/2020,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,1188
2016/2017,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,69861
2017/2018,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,68565
2018/2019,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,69021
2019/2020,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,68562
2016/2017,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,28371
2017/2018,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,30138
2018/2019,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,28125
2019/2020,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,21750
2016/2017,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,3465
2017/2018,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,3420
2018/2019,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,3573
2019/2020,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,3633
2016/2017,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,1515
2017/2018,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,1293
2018/2019,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,1380
2019/2020,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,1368
2016/2017,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,6708
2017/2018,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,6567
2018/2019,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,6039
2019/2020,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,5649
2016/2017,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,17436
2017/2018,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,16551
2018/2019,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,17523
2019/2020,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,16914
2016/2017,Territories,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,237
2017/2018,Territories,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,297
2018/2019,Territories,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,357
2019/2020,Territories,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,Canadian students,Number,units,402
2016/2017,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,97236
2017/2018,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,97563
2018/2019,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,93957
2019/2020,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,88485
2016/2017,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,1503
2017/2018,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,1317
2018/2019,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,1152
2019/2020,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,1164
2016/2017,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,333
2017/2018,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,279
2018/2019,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,285
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,240
2016/2017,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,1218
2017/2018,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,696
2018/2019,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,546
2019/2020,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,648
2016/2017,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,1191
2017/2018,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,1146
2018/2019,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,1257
2019/2020,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,1233
2016/2017,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,52668
2017/2018,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,52569
2018/2019,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,51339
2019/2020,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,50541
2016/2017,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,19104
2017/2018,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,20955
2018/2019,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,19482
2019/2020,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,15207
2016/2017,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,2688
2017/2018,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,2796
2018/2019,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,2580
2019/2020,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,2670
2016/2017,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,1122
2017/2018,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,1077
2018/2019,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,1026
2019/2020,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,948
2016/2017,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,3075
2017/2018,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,2703
2018/2019,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,2490
2019/2020,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,2532
2016/2017,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,14244
2017/2018,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,13929
2018/2019,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,13656
2019/2020,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,13122
2016/2017,Territories,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,93
2017/2018,Territories,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,99
2018/2019,Territories,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,147
2019/2020,Territories,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,Canadian students,Number,units,174
2016/2017,Canada,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,23841
2017/2018,Canada,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,23976
2018/2019,Canada,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,24861
2019/2020,Canada,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,26169
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,909
2016/2017,Nova Scotia,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,1593
2017/2018,Nova Scotia,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,1650
2018/2019,Nova Scotia,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,1617
2019/2020,Nova Scotia,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,1527
2016/2017,New Brunswick,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,474
2017/2018,New Brunswick,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,525
2018/2019,New Brunswick,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,447
2019/2020,New Brunswick,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,726
2016/2017,Ontario,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,714
2017/2018,Ontario,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,660
2018/2019,Ontario,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,624
